#{"t_start": 1789427883.1638968, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
80.0,1555,3.725193
90.0,1539,4.098972
65.0,1185,4.419804
345.0,3384,5.205954
80.0,2037,5.735918
80.0,1279,6.049385
180.0,2501,6.70576
85.0,1871,7.214999
125.0,1901,7.711475
55.0,1571,8.097751
35.0,1417,8.452224
60.0,1645,8.949643
120.0,1931,9.39997
485.0,2599,10.035199
55.0,1769,10.443654
105.0,1563,10.815603
120.0,1897,11.298849
60.0,1135,11.565071
215.0,2475,12.26568
185.0,2293,12.831751
185.0,1899,13.298453
150.0,2697,14.003825
20.0,1191,14.337885
180.0,2451,14.925965
35.0,1497,15.281463
80.0,1107,15.526134
80.0,1473,15.864644
50.0,1153,16.119817
65.0,1579,16.486822
160.0,1955,16.936248
60.0,1637,17.312045
65.0,1653,17.692788
120.0,2275,18.181189
30.0,1189,18.449061
65.0,1749,18.846817
220.0,2275,19.332057
155.0,1811,19.834253
490.0,3983,20.726985
110.0,1577,21.081168
110.0,1401,21.402114
120.0,1899,21.848994
95.0,1419,22.164569
130.0,2163,22.68066
155.0,2301,23.207835
55.0,1487,23.560871
105.0,1851,23.983194
210.0,2157,24.464792
40.0,1543,24.796087
80.0,1829,25.190566
210.0,4051,26.080021
70.0,1175,26.37231
450.0,3493,27.109662
570.0,4975,28.110052
115.0,2353,28.639094
210.0,2479,29.247114
380.0,4831,30.265588
80.0,1281,30.554518
225.0,2647,31.113628
35.0,1801,31.517325
110.0,1529,31.846689
120.0,1855,32.296862
80.0,1539,32.64699
135.0,2325,33.173101
210.0,2365,33.679413
65.0,1191,33.943524
80.0,1423,34.246835
200.0,3231,34.949177
185.0,2901,35.627527
365.0,2427,36.135578
115.0,1651,36.49876
180.0,1841,36.897665
320.0,3321,37.613154
165.0,2467,38.131305
270.0,2725,38.76682
415.0,3407,39.506172
285.0,2675,40.077286
195.0,3245,40.785948
165.0,2625,41.433342
65.0,1897,41.865632
155.0,2023,42.301575
80.0,1785,42.699224
105.0,2053,43.132873
110.0,1865,43.530492
45.0,1143,43.798441
225.0,3077,44.502098
55.0,1615,44.851739
215.0,3205,45.528928
30.0,1923,45.978919
150.0,2353,46.48013
55.0,1713,46.859668
175.0,2405,47.401935
55.0,1597,47.748692
120.0,1917,48.162897
135.0,1635,48.540755
270.0,2673,49.096902
255.0,3667,49.887657
170.0,2073,53.146892
250.0,4633,72.315086
260.0,2871,84.58276
180.0,2387,94.692874
130.0,1975,103.631595
115.0,1507,109.960425
110.0,1123,114.849214
155.0,1973,123.681473
210.0,2793,135.82393
165.0,2247,145.391873
75.0,1343,150.907538
90.0,2017,159.813952
270.0,2091,168.761629
50.0,1487,174.850891
125.0,2083,183.794618
180.0,2055,192.621501
240.0,2257,202.253394
470.0,4543,221.94451
220.0,3257,236.146554
150.0,1923,244.36109
85.0,1947,252.803052
95.0,2075,261.634358
245.0,1989,270.3668
85.0,1993,279.032645
225.0,2573,290.28429
420.0,3461,305.648736
35.0,1905,313.96069
330.0,3741,330.863048
15.0,1891,339.055473
165.0,2477,350.107368
645.0,3325,365.437093
355.0,3325,380.301152
480.0,3589,395.888394
560.0,3273,410.445778
175.0,1729,418.002464
190.0,3115,431.680968
335.0,3367,446.860224
30.0,1459,453.25648
145.0,2483,464.223808
230.0,2255,474.548629
195.0,1725,483.288675
195.0,3483,498.667175
150.0,2261,508.604879
175.0,2841,521.248662
220.0,2547,532.486746
330.0,3947,550.069915
240.0,1989,558.928485
185.0,2841,571.522895
335.0,3053,585.176825
280.0,2153,594.592917
310.0,3201,608.651441
115.0,1067,613.331593
545.0,4323,632.359371
45.0,1693,639.810727
325.0,2989,654.664602
270.0,2151,664.919287
280.0,2611,676.656263
180.0,1793,684.80927
500.0,3151,698.774984
235.0,1979,707.608313
285.0,2071,716.951665
105.0,1551,723.97323
280.0,2153,733.344566
270.0,2151,742.609227
280.0,2145,752.107518
135.0,1953,760.773857
55.0,1141,765.621791
430.0,2807,778.321235
135.0,2747,790.475178
270.0,2131,799.782633
365.0,3181,813.92281
270.0,2151,823.301921
315.0,2165,832.725056
250.0,2275,842.81156
205.0,3435,858.252151
165.0,3239,872.806396
385.0,2957,885.71396
180.0,2379,896.248309
365.0,2879,909.179486
170.0,1979,917.760808
405.0,2815,930.174001
210.0,2431,941.011481
575.0,3785,977.425556
205.0,2993,990.541003
155.0,2377,1000.79901
395.0,3955,1018.590231
280.0,2151,1028.046916
335.0,4507,1048.121756
235.0,2771,1060.192554
190.0,1719,1067.888486
265.0,3631,1084.019877
420.0,3859,1100.951666
205.0,2081,1110.077667
125.0,1989,1118.817944
580.0,4089,1136.95211
190.0,2015,1145.871145
315.0,2547,1157.09763
245.0,2087,1166.231966
750.0,4895,1188.062445
440.0,3659,1204.813323
60.0,1193,1210.029536
115.0,1921,1218.595137
555.0,3705,1235.673158
490.0,2917,1248.576227
220.0,1837,1256.687233
300.0,2921,1270.327028
