#{"t_start": 1789489582.6800838, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
545.0,2867,3.93177
740.0,4627,6.491461
1045.0,6059,11.469033
280.0,2497,13.181564
575.0,3777,15.540646
1095.0,5925,6.958394
905.0,6441,11.806494
570.0,3975,14.909534
570.0,3775,17.554235
1175.0,6427,21.989247
1095.0,5925,5.963036
905.0,6441,9.822201
570.0,3975,12.254064
570.0,3775,14.638065
1175.0,6427,18.6812
1095.0,5925,6.959967
905.0,6441,11.447681
570.0,3975,14.579404
570.0,3775,17.380333
1175.0,6427,21.336854
1095.0,5925,5.494656
905.0,6441,9.395147
570.0,3975,11.714796
570.0,3775,13.882907
1175.0,6427,18.262556
800.0,3205,5.1653
545.0,3475,7.593066
800.0,3065,9.653643
600.0,3243,11.83383
1075.0,6883,16.448601
865.0,5269,5.576701
600.0,3365,7.806875
810.0,3551,9.955731
800.0,3493,11.984552
570.0,3779,14.311505
830.0,5525,5.426518
780.0,4509,8.242159
800.0,3079,10.092433
800.0,4187,12.607937
1560.0,6817,16.671267
1545.0,6481,5.516712
600.0,3621,7.605553
1430.0,6585,11.319086
1035.0,6533,15.072096
1375.0,7225,19.187112
600.0,3373,3.880762
600.0,3541,6.187418
550.0,3453,8.358323
600.0,3823,10.598342
665.0,3121,12.443639
1145.0,7013,6.727734
1210.0,6621,10.89843
1150.0,7259,14.966032
1755.0,8474,19.807704
1300.0,6339,23.446296
