#{"t_start": 1789427883.277446, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
210.0,2509,951.863653
215.0,2579,953.562431
215.0,2579,955.107645
435.0,3869,957.518609
435.0,3869,960.246859
305.0,3217,962.296376
185.0,2417,963.779049
210.0,2461,965.327619
215.0,2579,966.935135
330.0,3469,969.181807
405.0,3327,2794.344346
270.0,2511,2795.970942
375.0,2983,2797.82017
375.0,2983,2799.671906
215.0,2263,2801.137901
185.0,1917,2802.388575
405.0,3839,2804.771255
445.0,3107,2806.73811
255.0,2295,2808.171121
380.0,2577,2809.674927
280.0,2741,4631.236067
440.0,4547,4634.055462
225.0,2167,4635.559719
315.0,3051,4637.534936
85.0,1165,4638.289635
505.0,2991,4640.090351
200.0,1981,4641.402454
475.0,2729,4643.066444
550.0,3203,4645.070473
550.0,2899,4646.875112
185.0,1883,6393.099812
175.0,1931,6394.246903
160.0,1899,6395.395433
105.0,1377,6396.173439
160.0,1861,6397.376964
140.0,1865,6398.668751
185.0,1877,6399.860333
105.0,1613,6400.802417
210.0,1945,6402.078945
115.0,1897,6403.23832
300.0,2901,8053.538933
120.0,2283,8054.929602
130.0,1723,8055.988007
360.0,3739,8058.213663
115.0,1503,8059.066546
130.0,1787,8060.254279
115.0,1955,8061.395225
115.0,1955,8062.61222
425.0,3361,8064.626375
130.0,2473,8066.125726
220.0,2163,9722.015885
275.0,3243,9724.131718
70.0,1465,9725.165277
310.0,3919,9727.682037
465.0,3853,9730.609592
70.0,1465,9731.697657
465.0,2859,9733.831444
310.0,2629,9735.792618
315.0,2489,9737.33172
265.0,2979,9739.239975
380.0,3031,11497.311087
240.0,2591,11499.160619
300.0,3135,11501.025582
370.0,3420,11503.059418
510.0,3639,11505.278629
320.0,2879,11507.02883
110.0,1321,11507.802668
115.0,1643,11508.924078
205.0,2609,11510.409042
215.0,2087,11511.676976
320.0,2497,13580.593668
110.0,1127,13581.55296
70.0,1131,13583.288545
195.0,2043,13584.770503
220.0,2001,13586.157457
215.0,1977,13587.761216
670.0,3606,13592.993323
230.0,1949,13596.542715
410.0,3729,13602.430149
255.0,2193,13604.655184
140.0,1439,16540.915376
235.0,2137,16543.007988
185.0,1589,16544.477452
245.0,3179,16550.367768
200.0,1535,16551.778289
170.0,2147,16557.346137
565.0,2691,16560.302978
240.0,3241,16565.944782
80.0,1043,16569.904749
205.0,1681,16571.447537
360.0,2381,18717.187524
260.0,1963,18718.300827
315.0,2488,18719.854217
490.0,3109,18721.740458
240.0,1475,18722.571773
275.0,2869,18724.329759
225.0,1701,18725.36027
260.0,1963,18726.516106
315.0,3135,18728.454526
240.0,1439,18729.293028
390.0,2514,20409.989461
330.0,2449,20411.291188
370.0,2891,20412.923972
375.0,2979,20414.548121
500.0,2311,20415.763286
245.0,2187,20416.966437
245.0,2019,20418.016236
620.0,3779,20420.035366
320.0,2235,20421.280889
390.0,3119,20422.899388
500.0,3383,21909.758866
300.0,2975,21911.372743
300.0,2157,21912.571764
310.0,2947,21914.097071
225.0,1745,21915.080528
185.0,1709,21915.971222
555.0,2805,21917.573197
255.0,2183,21918.760874
175.0,1511,21919.55501
395.0,3113,21921.269403
320.0,2519,23397.106066
185.0,1537,23398.119022
100.0,1131,23398.831943
205.0,1757,23399.814408
100.0,1131,23400.417903
170.0,1611,23401.306467
275.0,2025,23402.367071
190.0,1911,23403.371801
200.0,1963,23404.459198
260.0,1811,23405.395022
140.0,1437,24889.457786
390.0,3155,24891.200835
345.0,3355,24893.112002
275.0,1905,24894.111858
515.0,3957,24896.167459
215.0,1681,24897.135327
280.0,2235,24898.280771
525.0,3391,24900.103167
430.0,3189,24901.878942
155.0,1391,24902.595859
385.0,3429,26366.151147
500.0,3659,26368.07175
400.0,2913,26369.656836
250.0,2997,26371.229272
620.0,3131,26372.891218
775.0,3433,26374.722855
315.0,2367,26376.060837
250.0,2327,26377.254025
245.0,2541,26378.666117
640.0,3079,26380.337734
520.0,4213,27849.982947
465.0,4155,27852.206429
245.0,2739,27853.760679
305.0,3077,27855.424953
140.0,1993,27856.473323
365.0,3275,27858.233496
320.0,2965,27859.864827
165.0,2005,27860.916998
360.0,3629,27862.862086
230.0,2589,27864.272536
260.0,2043,29343.931823
150.0,1903,29344.902183
110.0,1461,29345.740053
345.0,2827,29347.206931
380.0,3567,29349.0903
395.0,3041,29350.711652
960.0,5919,29353.895059
425.0,3225,29355.596448
910.0,4617,29358.020904
520.0,3453,29359.864321
500.0,3627,30829.83378
800.0,4045,30831.917261
280.0,2131,30833.0515
555.0,4059,30835.317848
535.0,3727,30837.291089
290.0,2417,30838.607602
295.0,2155,30840.012361
600.0,3813,30842.893801
545.0,3557,30845.431223
350.0,2815,30847.193871
575.0,3937,32305.563167
830.0,4333,32307.816255
540.0,4313,32310.107119
445.0,3403,32311.997696
365.0,2719,32313.459669
465.0,3431,32315.211363
800.0,4347,32317.523713
365.0,2803,32319.016993
775.0,4079,32321.162372
545.0,3003,32322.826923
605.0,4115,33795.487968
600.0,4091,33798.051757
290.0,2023,33799.360033
525.0,3827,33801.682514
480.0,3609,33803.52359
215.0,2207,33804.793267
690.0,4817,33807.335976
530.0,3621,33809.396767
580.0,3807,33811.431293
730.0,3741,33813.416333
805.0,3471,35293.603958
315.0,2277,35294.858478
495.0,3161,35296.533721
550.0,3359,35298.303427
460.0,2785,35299.826054
300.0,2525,35301.115071
450.0,3787,35303.082279
455.0,2877,35304.6515
355.0,2403,35305.930679
500.0,3325,35307.634989
415.0,2295,36762.656076
540.0,3363,36764.472051
370.0,2133,36765.645866
685.0,3631,36767.565649
485.0,3021,36769.091053
570.0,3545,36770.993951
310.0,2385,36772.294081
525.0,3462,36774.135748
455.0,2713,36775.583545
380.0,2738,36777.069354
300.0,2663,38243.356313
515.0,3599,38245.260697
230.0,2145,38246.356823
435.0,3609,38248.291936
570.0,3511,38250.178763
575.0,3587,38252.099903
570.0,3179,38253.777376
695.0,3661,38255.635996
565.0,3787,38257.618334
545.0,3916,38259.66152
580.0,3261,39692.770172
545.0,3201,39694.439573
270.0,2265,39695.612547
395.0,2834,39697.239103
750.0,3683,39699.197427
330.0,2335,39700.402562
450.0,2917,39701.961734
550.0,3723,39703.927707
575.0,3642,39705.832484
570.0,3642,39707.831434
600.0,4457,41162.117043
1345.0,7455,41166.01546
630.0,4115,41168.194031
1435.0,5875,41171.332797
600.0,3547,41173.226813
605.0,4251,41175.488897
995.0,6077,41178.726747
1190.0,7143,41182.51765
570.0,3529,41184.374258
215.0,2169,41185.502252
940.0,6151,1431.068947
775.0,3535,1433.447017
425.0,2371,1434.991312
600.0,4595,1437.679691
550.0,3152,1439.46691
770.0,3945,1441.821348
805.0,3611,1443.916603
610.0,3379,1445.895487
465.0,3563,1448.004446
585.0,3137,1449.768529
620.0,2723,3141.858541
1005.0,3649,3143.956724
525.0,4189,3146.411698
390.0,3207,3148.309897
260.0,3355,3150.328552
425.0,2941,3152.049635
550.0,3549,3154.122004
745.0,3486,3156.045616
545.0,3401,3158.061646
715.0,4583,3160.80726
600.0,4561,4856.909786
745.0,3681,4859.009382
610.0,2779,4860.741165
690.0,3167,4862.571364
570.0,3904,4864.809895
580.0,3239,4866.677543
425.0,2613,4868.193863
545.0,4185,4870.659708
575.0,3615,4872.735559
570.0,3370,4874.608752
605.0,3619,6583.192781
600.0,3393,6585.110668
1095.0,5899,6588.530911
745.0,5353,6591.76172
775.0,3632,6593.814243
570.0,3401,6595.810469
1150.0,5897,6599.293488
1055.0,5749,6602.659971
570.0,3326,6604.459816
500.0,3805,6606.747303
775.0,3089,8309.398429
575.0,4333,8311.947163
1040.0,6369,8315.689677
600.0,3655,8317.853287
800.0,3237,8319.696163
545.0,3365,8321.662198
600.0,3137,8323.52245
520.0,3168,8325.428558
540.0,3619,8327.52466
575.0,3502,8329.609671
575.0,4391,10034.61942
575.0,3875,10036.859144
525.0,3465,10038.845245
260.0,2001,10040.055249
600.0,3703,10042.299845
775.0,2937,10044.0567
575.0,4055,10046.395733
570.0,2761,10048.034207
800.0,4111,10050.370351
600.0,3857,10052.626601
570.0,4240,11754.434237
490.0,3179,11756.268289
600.0,4025,11758.633287
540.0,3322,11760.574115
605.0,3365,11762.626498
1160.0,6039,11766.067024
570.0,3256,11767.917398
700.0,3441,11769.915696
600.0,4069,11772.33303
600.0,3885,11774.648363
505.0,2817,13483.596652
600.0,3265,13485.52108
575.0,4183,13487.92716
775.0,4234,13490.380238
555.0,3627,13492.581239
740.0,4285,13495.051182
605.0,3133,13496.91092
600.0,3827,13499.113913
570.0,3512,13501.148247
1215.0,6821,13505.28028
555.0,3771,15205.816721
895.0,5109,15208.89633
755.0,3528,15211.020016
550.0,3767,15213.273737
570.0,3917,15215.553403
600.0,3815,15217.756243
745.0,3758,15219.959685
575.0,3671,15222.154439
540.0,3779,15224.422413
750.0,3959,15226.758475
575.0,3052,16939.975177
600.0,4329,16942.458062
605.0,3627,16944.574232
575.0,3314,16946.528504
1375.0,7286,16950.818146
775.0,3335,16952.671856
545.0,3792,16954.910294
