#{"t_start": 1789489376.3789754, "env_id": "ALE/SpaceInvaders-v5"}
r,l,t
545.0,2867,6.74654
545.0,2867,4.182574
740.0,4627,10.08473
1045.0,6059,18.741318
280.0,2497,27.350758
575.0,3777,31.609803
1095.0,5925,7.019846
905.0,6441,20.811165
570.0,3975,36.136135
570.0,3775,44.613365
1175.0,6427,53.735375
1145.0,7013,9.363665
1210.0,6621,26.685404
1150.0,7259,43.113868
1755.0,8474,61.464097
1300.0,6339,81.964182
1145.0,7013,9.368633
1210.0,6621,28.578694
1150.0,7259,45.703269
545.0,2769,4.706484
1330.0,6999,13.182745
575.0,2995,25.939142
2055.0,9296,36.225022
575.0,2713,55.503152
545.0,2769,5.588364
1330.0,6999,16.402008
575.0,2995,33.998336
2055.0,9296,46.26637
575.0,2713,67.226925
